Author,Title,Date,Publication,Place,Full_text,URL
"Ackroyd, Peter",Soothing familiarity under a subversive guise,The Times,1982-Dec-11,"London, England","REVIEW Paperbacks of the month
Soothing familiarity under
a subversive guise
The Penguin Book of
Contemporary British Poetry, edited by Blake Morrison and Andrew Motion (Penguin, £1.95)
This is an anthology, not of the best contemporary British verse, but of the best publicized; although its editors would like it to be placed in the subversive tradition of Ezra Pound's Catholic Anthology and Al Alvarez's Thte Neiv Poetry, this is in fact a rather soothing collection. It is much more itl the tradition of vcrse albums for light hours, such as Poems fbr Travellers or Poets on Chiristmnas.
The introduction is heady with talk about a ""new spirit"" to bc found in contemporary poetry. I am not sure about that, but certainly it would have to be a free one to cover work as diverse as that which has been assembled here - from cxamples of Northern Irish poetry to the productions of the young Oxford poets. Catchphrases which include the word ""new"" should be treated with caution, and here they are only
a form of whistling in the dark. The editors havc simply included the poets they admire (and I admire, along with them, Fenton, Reid and Adcock) but seem hard pressed in finding reasons for doing so.
And so when they talk of this ""new spirit"" as being also the ""spirit of post-modernism"" I do not think they know what they mean. Post-modernism, as a descriptive term, has been indiscriminately applied to English poetry for at least 40 years - Eliot, the archmodernist, was also the first post-modernist, although he was rather clearer about his reasons. If the term were to mean anything in the context of
this book, it would register only a newv"" lack of ambition.
The Oxford poets, * for cxample, take a familiar theme or vista and then attempt to transform it by strangeness of description: the poem becomes a special, because slightly jokey and slightly whimsical, way of looking at the world. It confirms, in other words, its own marginal status. This happens, characteristically, at times when poetry itself is surrounded by other and more dominant forms of expression - and it is revealing that the best work included here is close to journalism, or to the short story.
Most of this Penguin selection, however, is conventional in form and familiar in cadence - agreeable certainly, light and decorative. Any of it could have been published in the last 40 years without arousing the slightest objection.
Peter Ackrovd",https://link.gale.com/apps/doc/CS419662731/TTDA?u=uppsala&sid=bookmark-TTDA&xid=193fcd3d
"Griffiths, Paul",Poetry falling on deaf ears,The Times,1982-Nov-09,"London, England","Concerts
Poetry falling on deaf ears
I'M
Conlon
Festival Hall
I sUJepUSC the mnain work in last
iglht's conicert by hlie London
Philharmonic illSi COunt as
Lis.,ts Ftio .SOn,phoin hbtt nilost of thec music caime kl'ore tlie interval in Mozarts D) llmaJor Violin Conccrto K 1 2.
It is not thai I rate the' Mozart 'Is neecessirilv superior: in tact I have no douibt the Liszt is on)e oi the greai works ol luill-blowni ronManicism.i capable ol shoeking the sIises aIInd stoImning healaen ab much as Bkrltot or Maeilrr at their mtost Fausian. Huit hiere. iar more was said bv Kyung-wha Chung in Ihe' Moiart concerto.
Trhe orchestra meanwhile said as little as possible. Perhaps this was deliteraie policy on the part of the conductor. James ConIon. who may have fell that a rwrfoirmance as exquiisitely detailed and hinished as Miss
('hung's nee(led obiiN a lcatuicless background to sho%v it olft
-olsever. thi. el teci was (ot poetr.v lathillg oln (teal and unigratetizl ealrs
NIiss ('Chng uIe(l e\erf resoLurce of ticr- inistr-umient: tile suddtIe tonrOi troim classicail brighitness to a (lairk. intimlae. insinuating toie. tlhe dirop to tile %crv tiaimtesl pinilssi 11o as one phrase seeCIms it continnue its ds ing celio under lihe next, above all thc skill oltlic hbowing arm to articulate a line as subily as in sijech. All this. however. wenit unheeded hy her colleaigues. Ihe gulf ol s%lfe was comiplete.
rile* one advantage of Ihis was that there was nothing to (listraci one 1romii the soloist, or frotm appreciating a itchiilztuc so exact that what might have seemed merely expressive colouring; sutxx revealed insicad as a miniature leat ol' virluosity.
Nliss C(hung was also carefuil not to paint in 1iwc eniotional
,i almlosphiert 103l decIStIl ly. T'lhe slov 11 nimeeiit I kei ers 1sk. V.s I I IIgCdl IthrOUghlu I %1ilh tdiieFs and ihic linale .crlaiailn ha(i ils iischiel. hut plent\ .lasa happening within
liese general areas: ilhere was tile and point in cvcrE little liguirc.
So was it not in Ihe Lisi. I-kdges werI-C blurred. somne phrascolopg askc% (a mailer- ol vdilion. I tlsik) and generallk tihere was lar too little ol thal denmoniac miialice alid poulicing comnimand ihis work needs f its pr-etenilions are not to aplpai preposterous.
The Mephistopheles movemeil in particular was a good tical loo bland, miore a rclwat ol [du{tst's imutisic thiani a negation, hlut at tihe end it could boast a resolute ienor soloisi in John \ler. and a chloruts able to show tilc orchestra what quictness i'ieanis.
Paul Griffiths",https://link.gale.com/apps/doc/CS185174889/TTDA?u=uppsala&sid=bookmark-TTDA&xid=3ebfb2e9
Null,Geoffrey Grigson: Collected,The Times,1982-Nov-04,"London, England","|Geoffrey Grigson: Collected lPoems 1963-1980. The Private
Art, A Poelry Note-Book, |Blessings, Kicks and Curses; (Ilhison & Husbhv, f9.95 each): This is Grigson week, and today a benefit dav for onc of the most influential critics and true pecis of our generation. We shall review themil in duc course. But this is just to give notice that he has thrce books published today: his first collection of poetry for 20 years; observations about poetry and lifc from his note-books; and a collection of his criticism, mostly recent, btit some of it going back to the Fifties. He seldom writes a dull sentence, and never an unintelligent one.",https://link.gale.com/apps/doc/CS218860388/TTDA?u=uppsala&sid=bookmark-TTDA&xid=7ad10813
"Applevard, Bryan",Interview: Geoffrey Grigson,The Times,1982-Nov-04,"London, England","THE ARTS
Interview: Geoffrey Grigson
The survivor of English modernism
In his notebook. published today, Geoffrey Grigson writes of the hunt for a cicada in the foliage of his rosemary patch. It is an image of the search for the elusive persona of the poet. His rosemary patch is Broad Town, a village in a fold of some of the few hills in Wiltshire, the idyllic dualities of which are somewhat qualified by thc militar-y air bases dotted around the vicinity. His foliage is poetry, a plant in which he has been thoroughly cntangled for thc past 77 years. With the exception of painting he speaks of anything other than poets and their work with uncertainty or amusement.
He is the most typical survivor of that peculiarly English version of modernism whicih flourished in the Thirties under the aegis of Auden. They were a less apocalyptic band thian the more cosmopolitan originators of modernism, visualizing themselves as part of a continuous English tradition rather than as presiding over the collapse of western culture. For them Joyce and Pound were gigantic figures certainly, but slightly dubious, somehow not entirely to be trusted behind the hard carapace of their leaming. There was even something ambiguous about the enticing gravity of T. S. Eliot.
But thc homc team was magnificent: ""If vou think of'tlhe people you could sharpen your claws on at the time - Herbert Read, Henry Moore. Bcn Nicholson, Barbara Hepworth - and you never knew who you'd meet if you went to a party with Read, there was liable to be somebody like Gropius there . . . or Ben Nicholson coming round in an Austin 7 with Braque. He always swore it wasn't an Austin 7.. .
""And then a kind of rot began to set in, the Sitwells, Dylan Thomas; the intellectual edgc went."" He searchcs round for a moment for a contemporary artist worth his praise. ""Hockney is a verv remarkable painter - yes?""
Surprisingly, Grigson's spoken opinions emerge uncertainly. Thc ""yes?"" which ends most of his critical assessmnents is a request for agreement, a flattcring hope that his listener will approve. It is surprising if you have read his essays, in which he belabours his enemies - ccrtain academics, Pound, Thomas and all book reviewers - with something close to pitiless contempt. He quotes Coleridgc to justifv his written rage: ""Praise of the unworthy is robbery of the deserving - it's a very good flag to hy under.""
And, of course, thc quality of his derision makes his adulation for the small band of those he regards as deserving all the more profound, morc sweeping. ""Nicholson and Moorc - they werc superior people, you kinew they were in earnest, vou knew that they were doing what thcy should be doing and doing it as well as they could. You knew they weren't cheats and you could sce their relationship with thc past, this sensc of communitv going back to God knows when, to
(rigson: a quality of derision
paleolithic times. And you really felt they weren't playing at it. That was life.""
These days he has to struggle to find their like. Hockney apart. He suspects .James Fenton may be a worthiy poet, but hle is unsure. Generally thotigh he dislikes miaking contemporary judgmnctis, feelinlg it is not the role of an cider statesmani like himself. Yet he clearly bemoans the contemporary loss of seClioulsllCss.
""I was at this party at Fabers - in theirniew boardroom - it was to confirm Matthew Evans as manalging director. It was all there with the ghost of Eliot in thc eorner. Two slightly shabbv. I'aded-looking bunny girls came in to deliver a Kissogram for Evans. I mean, after all it was the hoardroom of the author of Thie llasic l aiad(. I remennber the start of'the 'gram. It went: 'Thank Evanis tor little books.' Oh deIar.""
Kissogranis apart. (irigson is not one to let his anger or his derisioni turn inito gloom. In his poetry and in his prose he is an incurable celebrator of all that lie finds worth celebrating. It is enough for him that Auden lived or that his belovedt gallerv of' mine minor poets - Clare, Barnes. Campion anld 1'raherne - are there to be outind. Or even that there might be many moie lying
undiscovered in the Bodleian or the Britishl Musetim.
""I don't think anybody believes the atoimi bomb is going to go off. But even if it (toes there will be some embrvonic poets in Platagonia or Australia.""
With tihe publication of three books this week Grigson is keeping up his usual rate 01 outptit. The poems between 1963 and 1980 are collected, and his second collection of' essays appears. And for the lirst time hie has brought out his notes in a volume entitled Thle Priatwe .lrt. He was inspired by the notebooks of Valery.
It contains an odd mixture of lyricism, common sense and happy abuse; buit. most important of all, it containis a lot of (irigson, the cicada peeping out of the loliage:
""He is a symbolist. a purist, an imagist, a modernist. He is not a synmbolist, a purist, an imagist, a modernist.
""W\hat does it matter if he is not a fool?""
Bryan ADDlevard
((coIc'c'ed P'onems J9C63-1980: Tif Prii'aie Irt.: .4 I'oeir,' VNote-Book: Bleysings. AKicks anid Curses: all published by Allison & l3usby, £9.95 each.)",https://link.gale.com/apps/doc/CS219122532/TTDA?u=uppsala&sid=bookmark-TTDA&xid=577ddfd6
"Holmes, Richard",The return of the Metaphysical Kid,The Times,1982-Aug-19,"London, England","The return of the Metaphysical Kid
The Occasions of Poetry
Essays in Criticism and Autobiography
By Thom Gunn
Edited by Clive Wilmer (Faber, £6.95)
The Passages of Joy By Thom Gunn
(Faber, £4 paperback £3)
""Man, you gotta Go. "" At Cambridge in the mid-Sixties I remember we backed Thom Gunn or Ted Hughes, just as we backed either The Stones or The Beatles. Gunn was definitely the Heavy Metal side in those days - the Metaphysical Kid, with all those motorcycle poems, the leather heroes, Elvis and Marlon and Dean (already coolly retro), the Existential Lover growling ""Even in bed I pose"", the ""toughs of history"", Corialanus and Von Stauffenberg, Byron and not Shelley, and the unforgettable ""Sad Captains"" who withdrew to an orbit and turned ""with disinterested/ hard energy, like the stars"". (The electric half-rhyme, ""failures""). Well, I still think that's how you should start to learn poetry: intellectual excitement plus rhythm.
In fact Gunn was already way ahead, living in San Francisco, discovering communes and body contact and LSD, and wrnting the much freer syllabic verse of Touch (1967), and then Moly (1971) - moly being the magic herb (sure) that Hermes gave to Ulysses before entering the dangerous, beautiful zone of Circe, where tough explorers became sloppy, sun-worshipping swine. Some critics felt that California had indeed changed Gunn into something of a poetic pig, the old Yvor Winters' precepts of Energy and Rule, swamped by the hot, laid-back, far out West.
Now Thom Gunn is 53. He has published eight major books over nearly thirty years, and his career makes a distinct and significant shape in the development of modern British poetry. He describes this shape with modesty and great charm in the autobiographical sections of The Occasions of Poetry, his first collection of prose pieces and critical esssays dating between 1965 and 1979.
The shape is indeed Circean, because it consists of a series of transformations. He moves from Cambridge to San Francisco, from a cold culture to a hot one; from strict metrical forms to lesser syllabic structures that concentrate on ""spontaneous perceptions""; from guarded heterosexual poetry, to the openly homosexual; from a kind of pop existentialism, concerned with ""identity"" and ""pose"", to a deeply felt exploration of tenderness, physical sharing and emotional trust. He tells us a great deal about his parents (especially his mother, who died when he was fifteen), about his intellectual influences, about his friends.
The collection also contains essays on Ben Jonson, Fulke Greville, William Carlos Williams, and Gary Snyder (a typically Gunn-like piece of flexible rostering), together with one of the best studies of Thomas Hardy's ballads I have ever read.
As for the new book of poetry, it marks a fascinating if diffuse growth of Gunn's muse: another layer, a new skin, but patchy and raw in places. The title comes from Dr Johnson: ""Time hovers o'er, impatient to destroy, / And shuts up all the Passages of Joy"" (The Vanity of Human Wishes). The prevailing mode is elegiac, a turning back and remembering, which is perhaps one of the dominant modes of the late Seventies.
Thom Gunn: back home
Some of the shorter poems will I think stand among the best he has written: ""The Cat and the Wind"", about the processes of perception and inspiration; ""The Conversation"" which might bear comparison with Edward Thomas's poem to English Words; and ""June"", a deceptively, simple lyric about the sustaining nature of love.
There is also a near-perfect sonnet based on young Keats's meeting with the aged Coleridge at Highgate. It is a dialogue between Youth and Age, but also to some extent between Gunn and his critics. In the first part, Coleridge notes that Keats is ""Loose, slack, and not well-dressed"". Here is the second part, the sestet, with Keats walking home:
He made his way toward Hampstead so alert
He hardly passed the small grey ponds below
Or watched a sparrow pecking in the dirt
Without some insight swelling the mind's flow
That banks made swift. Everything put to use.
Perhaps not well-dressed but oh no not loose.
It adds a peculiar resonance to know that Thom Gunn too, grew up on that Heath. Man, he had to Go, had to get out. But he has found himself, I think, back home in the only tradition that matters.
Richard Holmes",https://link.gale.com/apps/doc/CS152013587/TTDA?u=uppsala&sid=bookmark-TTDA&xid=5589b082
"Nye, Robert",Poetry,The Times,1982-Jun-17,"London, England","Poetry
""His images have an admirable violence"", wrote Edwin Muir, in a review which. helped to establish . Ted Hughes' reputation, as it were overnight, when his first volume The Hawk in the Rain appeared some 25 years ago. The violence has. since struck other critics as less than admirable. If Shelley was guilty of sentimentality in hailing the skylark as a blithe spirit, then there may be a mere inversion of this attitude in Hughes crying:
I suppose you just gape and let your gaspings
Rip in and out through your voicebox
0 lark
But this is to criticize Hughes, as his work demands, from the highest level. He is a serious and authentic poet, restless in everything save his commitment to poetry. This fact comes out loud and clear from his Selected Poems 1957-1981 (Faber Â£4.95, Â£2.50 paper).
Made by Hughes bimself, this selection draws' on all published wotk to date, and*
in particular it supersedes the similar volume of 1967 by giving generous representation to the seven volumes from Crow *to Under the North Star. It thus provides an authoritative introduction to a possibly major poet. If I sound. less than certain irk admitting him to that status, it is because for. my money Hughes has never really surpassed the excellence of the early poem which begins this book, ""Thought-Fox"", a poem which is as much about the act of writing a poem as it is about the animal which provides the poet with his focus. The- fox enters the poem with a fine physicality: Brilliantly, concentratedly,
Coming about its own business
Till, withl a sudden sharp hot stink of fox
It enters the dark hole of the head.
Yet Hughes is on record as telling how he wrote this poem in a room in London, after a time when he had written little or nothing, and it is clear from the context that the fox's physical presence as it enters the poet's imagination is being identified with the influx and. effect of inspiration itself:
The window is starless still; the clock ticks,
The page is printed.
The ""violence"" in such a poem is well-contained in a cage of words. I find it preferable in every way to the strutting, ranting, and spilling which characterizes Crow and its derivatives, but I may be wrong.
Karol Wojtyla is also unignorable, but hardly for poetic reasons. If he had not been translated into being Pope. John Paul II then I am sure that his-Collected Poems would not now be appearing in an English version by Jerzy Peterkiewicz (Hutchinson, Â£4.95 paperback). These shy, rambling, worried; and - it must be said - interminably prosy verses are probably no real index to the Pope's mind. But I suppose it is something to have a failed poet occupying St Peter's chair, and not so very surprising that the poor chap sounds like Stephen Spender, returning again and again to images ot eyes and light and frontiers and electricity. He
is best at his most Spenderish. Thus:
Electricity here is fact and symbol.
I look through eyelashes into the eyes:
light through a transparent grove.
The only thing that is not Spender is the title of the poem which gives rise to this - ""A bishop's thoughts on giving the sacrament of confirmation in a mountain village.""
Ronald Duncan's Collected Poems (Heinemann/Quixote Press, Â£10) is hugely ambitious - wilfully so, in the manner of his mentor Ezra Pound. Duncan has always
taken risks. They are the risks which a poet of vision ought to take. Unfortunately Duncan is not a poet of vision, but a minor poet writing about vision. I like him best at his most honest, modest, loving, and hopeless: when he sounds like a little Elizabethan born too late, as in this complete poem entitled ""Epitaph"":
Here lics my Mother
My loss, her profit.
My wuhole life's buried here
Chuck earth upon it.
Robert Nye",https://link.gale.com/apps/doc/CS185830097/TTDA?u=uppsala&sid=bookmark-TTDA&xid=042800f4
"Howard, Philip",The Chinese in love,The Times,1982-Jun-17,"London, England","The Chinese in love
New Songs from a Jade Terrace
By Anne Birrell
(Allen & Unwin, Â£15.95)
Golden orioles pass through green boughs. I whisper my passion to the lipstick on her mouth. Spring passes, he has not returned; she watches blossom all turned to leaf. Clearly the old, old malarkey of love poetry; but exotic and mandarin, wouldn't you say? Not quite your Ted Hughes. The 656 poems in this famous anthology were written between 14 and 18 centuries ago, in the era of Chinese history known as the Southern Dynasties. They were collected by a court poet, Hsu Ling, around the year 545, and became for China what Palgrave's Golden Treasury was for Victorian England. This is the first unabridged and unexpurgated translation into a Western language.
And it is a strange door into the boudoir that they open for us, my masters. This is a melancholy, claustrophobic world. Lovers seldom meet in the poems. A woman is always waiting in obsessive longing for a man who is off down the road of life, often eager for his next amorous encounter. It is a polite world. Breasts, buttocks, hips, and genitalia are conspicuously absent: contrast their prevalence in Sanskrit and-Occidental love poetry. Instead lipstick, slee-
ves,and belts become erogenous zones.
The imagery is complex and alien. For us a dragon signals a virgin-eater that' needs to be slain by a hero on a white horse. On the jade terrace your dragon is a fertility symbol; or and also the emperor; or and also the celestial courser of a divinity. The jade terrace of the title can be a platform for dancing, or the haunt of a sexy mountain goddess, or a mirror-stand. The poems are dense. with puns and allusions that would fly over our heads without the notes.
So what is there in them for us, a world away in time and space? Critics of mainland China call them a poetic disgrace, and worthless, as the product of an aristocratic society. ""The sound of a state in collapse""; ""not for gentlemen""; they have been criticized for mannerism shallow conventionality, tedious cleverness, excessive allusion, pretentiousness, and ornateness. In fact, as well as opening a bamboo curtain on the romantic conventions of traditional China, they show that the Chinese heart in love beats much like hearts in that condition the world over. Dr Birrell's scholarly and tender translation of these love poems of erotic decor, decorously erotic, fulfils the purpose of the original compiler, old Hsu Ling: ""For long hours be diverted."" -
Philip Howard",https://link.gale.com/apps/doc/CS185961169/TTDA?u=uppsala&sid=bookmark-TTDA&xid=b2ff9ad9
"Ayer, A. J.",Poet as terrapin,The Times,1982-May-20,"London, England","..........>r
Poet as terrapina
Roy CamDbeli
A Critical Biography
By Peter Alexander
(Oxford, £12.50)
Although he was a prolific writer, publishing fifteen volumes of verse between the years 1924 and 1954, Roy Campbell is not now generally thought to have made an outstanding contribution to English poetry. While specimens of his work appear in some anthologies, notably 'The Faber Book of Twentiethi Century Verse, he is probably best remembered for the youthful epigram which he was prompted to write by the popularity in his native South Africa of the novelist Sarah 'Gertrude Millin:
You praise the firn restmint with which they write -
I'm with you there of course:
They use the snaffle and the curb all right,
But where's the bloody horse?
Royston Dunnachie Campbell, to give him his full name, was born in Durban, Natal, in 1901 to parents who were both of Scottish descent. His father was a prosperous doctor. In spite of his being badly treated by the 'headmaster of Durban High School and of being less keenly addicted than his four brothers to hunting, shooting or fishing he appears in the main to have had a happy childhood, displaying an apttude for drawing and painting as well as for writing verse.
After an unsuccessful attempt to run away and enlist when he was only 15, Roy Campbell left for England as soon as the war was over. He failed to obtain the academic qualifications for admission to Oxford but made friends then with William Walton and T. W. Earp and through them with such people as the Sitwells, Aldous Huxley and Augustus John.
He had one or two homosexual affairs but was more attracted to women and in 1922 he married Mary Gorman, a beautiful girl, also the daughter of doctor and three years older than' himself. They were very poor and lived in a small cottage in Wates where their eldest daughter was born and Roy completed his first book The Flaming Terrapin. The terrapin was supposed to be a symbol of male energy and the poem was favourably received by the critics for its romantic verve.
The Campbells returned to Durban for the years 1924-6, a period which saw the birth of their second daughter and Roy's father's death. On their return to England they rented a cottage in Kent in
the' :nelgbourlaod, Qf. '; Nicolsons- who t'olk .them'.U and=iniroducpd them te thei
friends.~ Onhe r'esult of `(-is, was, thit ;Mary ha-d..'a love, affair, with VitT a.ckvileWest. ' nlike Vit;q:- bMary. took the' affair-ver seriously and' so: did Ro ' who.was, shocked. and-'humil;ted. HeG revenged him'seIf. by publishing The
eorgiad, inwhich. ae *t-
tackfedtile 'Nicolso'ns and all' their. crsl*. The following onslaugiht on Vita is 'typical:
Each, -titled .bawd, born ?nier. 'Kcnus' htn, -:f
Too0gaU4t aid long- to atct X man
But. pruid: 'in love to - wen whqt shesan c- . ,.
Amon' her- peers wUIl st some cultt iafshion: : '. Where^ pedanitl con macuJwd
Spasison-..e--,' -
But Xor ili its venom and the' range of its targets the poem seems not to have drawnX much blood.
By 1929 the Campbells were back' together in Provence. Four'-years later they moved to Spain where they were both converted to Roman Catholicism. L-iving in Toledo, the became ardent partisans of Franco in the Spanish Civil War, in which Rsoy falsely claimed to have *fought. He did write propa-
anda mainly in the form of a ;lastily written poem entitled ""Flowering Rifle"". What was probably harder for him was a year's abstinence in fulfil-' ment of a vow not to drink alcohol until Franco's victory.
His espousal of Franco's cause brought Roy Campbell into conflict with the group of young English poets whom he collectively satirized as Macspaundey. His 'main charge against them was later to be that they were non-combatants in the Second World War. This was true of him also, though he often pretended otherwise. He joined the army and rose to the rank of sergeant but was prevented from fighting by ill-health.
After the war Roy worked for a time at the BBC finding a congenial drinking companion in Dylan Thomas. Then in 1952 the Campbells emigrated to Portugal where Roy spent most of his time working hard at making translations from Spanish and Portuguese. In 1959 they suffered a car accident on their return home from spending Holy Week in Seville and Roy was killed. Mary lived on until 1979 holding his memory in affection.
Mr Alexander tells this rather sad story competently mostly letting the facts and numerous auntations sneak
tor themselves.
A. J. Ayer",https://link.gale.com/apps/doc/CS201558708/TTDA?u=uppsala&sid=bookmark-TTDA&xid=54446c88
"Nye, Robert",Poetry,The Times,1982-Mar-25,"London, England","Poetry
""The poem,"" saiys the poet, ""is concerned with language on a very plain level"". An unremarkable statement. But the poet saying it. is John Ashbery, master of that New York school which flirts with nonsense, delights all fans of the difficult and the obscure, eschewing any kind of clear subject matter. Ashbery's friends and disciples throw words at the page much in the manner of Jackson Pollock hurling paint at a canvas, with results about as interesting as the average Rorschach test. I think it worth insisting that Ashbery himself has another dimension. The content of his work may be elusive, but the structures have grown increasingly formal, even beautiful. The fifty poems collected in Shadow Train (Carcanet, £3.25) are each of them sixteen-lines long, governed by immediately distinctive and memorable rhythms, and above all possessed by a sense of humour which makes even their most hermetic moments agreeably modest. Ashbery has been compared with Wallace Stevens, hailed even as a
'philosophical"" thinker. I regard this as a serious misrepresentation of his gifts. An English reader is more likely to be reminded of Edward Lear: there is a similar manic despair informing his jokes apd inventions, and the tension between that concern with language on a very plain level and the hectic refusal to come clean about whatever it is that pricks him into verse in the first place makes for some extraordinary effects, the finest of which do not preclude tenderness.
George MacBeth's Poems from Oby (Secker & Warburg, £4) shows a writer who was once as cosmopolitan as Ashbery trying to break new ground. Only one poem in the book, 'Thoughts on a Box of Razors"", -harks back to the familiar MacBeth in its preoccupation with violence, menace, the poet as a sort of Jack the Ripper stroking his own wit as it it were a knife with which he might do unmentionably nasty things to his Muse. For the rest, the tone is domestic, the setting pastoral, and the mood rather wilfully contented. MacBeth has apparently settled down in a Norfolk rectory, calmed his imagination by concentrating on country matters, and decided that it is time to take risks by rhyming flowers with showers, and stavihg off melancholy with: verses like this:
The blend of ecstasy and filth
In smell of drazns, an robin-song, Offers the kin of fruitful tilth
In which a poem might grow strong.
In my opinion, the tilth is not yet fruitful enough to make these poems strong, but there are sufficient successes (e.g. the excellent ""To Preserve Figs"") to make me hope that MacBeth will continue to cultivate his rural garden.
P. J. Kavanagh has always been a poet who seems equally at home (yet intelligently uneasy) whether in city streets or muddy ploughlands. His Selected Poems (Chatto & Windus £4.95) isC a very fine book indeed, and leaves. me in no doubt that. the time has come for, a reassessment of the reputation of this unambitious btut most accomplished writer. Kavanagh (who is the son of Ted Kavanagh who wrote the scripts for ""Itma"") has sometimes spoiled or fudged poems of undoubted inspiration by turning aside into gags at his own expense, but his critical mind has performed a first-rate. job: in choosing for this volume the best things from the five books he published between 1959 and 1979. He writes well about happiness (which is rare); his love poems are never sentimental; most remarkable of all, he has the knack of turning the simplest nature note into something which goes beyond observation of the outer weather - and to do this without being portentous. Here is a complete poem, ""Sun Overcast"", which illustrates that last gift:
W'ien brightness leaves the trees they seem to fall
Backwards, deprived of shadows, then rise again in a coot
Diminishment of waiting, solider still. Which it is possible
Is what they mean whom death makes audible
Beyond our ears and, I feel, as simple.
I remember the late James Reeves, praising Edmnund Blunden for having a Muse with an ""unpresuming Saxon grace"". Kavanagh's has the same grace. She may never be fashionable, but I'd wager she has a Persistence which will survive this fashion and that.
Robert Nye
In Harry Keating's crime briefs last week the notice of Flashpoint by Madelaine Duke was attached by accident to Dealer's Wheels by Steve Wilson.",https://link.gale.com/apps/doc/CS168659577/TTDA?u=uppsala&sid=bookmark-TTDA&xid=fafe37b4
"Spanier, David",The Poetry of Chess,The Times,1982-Feb-11,"London, England","The Poetry of Chess.
edited
by Andrew Waterman (Anvil Press, £4.95)
Poets, like other men, enjoy playing chess. Many of them have taken the game, which is so rich in metaphors, not just for war, but all obsessive states of mind, as an emblem of their feelings about life, in general.
From Lydgate,
Forthough manstudiedallhis Iyve
He shall ayefynde dyversefantasyses There is therein so great diversytie...
down to our own day, Poets have thus celebrated chess. This anthology of chess in goetry, arranged ur der the headings of the game, players, philosophies, moralitiesL p-ublic worlds and personal r-elations, makes a light.hearted and thoughtful collection.
Whether poets can play any better than other men is doubtful. The fact that they can write! better has to be their consolation.
:Dand Spanieri",https://link.gale.com/apps/doc/CS252283467/TTDA?u=uppsala&sid=bookmark-TTDA&xid=de231d09
